Subject,TrialNum,CycleSide,CycleNum,IC1,FO1,IC2,FO2,IC3
1,2,Left,1,378,390,434,447,490
1,2,Left,2,490,500,544,556,599
1,2,Left,3,599,608,654,667,714
1,2,Left,1,378,390,434,447,490
1,2,Left,2,490,500,544,556,599
1,2,Left,3,599,608,654,667,714
1,2,Right,1,321,337,378,390,434
1,2,Right,2,434,447,490,500,544
1,2,Right,3,544,556,599,608,654
1,3,Left,1,303,311,353,365,406
1,3,Left,2,406,415,459,469,512
1,3,Left,3,512,521,565,576,619
1,3,Left,1,303,311,353,365,406
1,3,Left,2,406,415,459,469,512
1,3,Left,3,512,521,565,576,619
1,3,Right,1,249,261,303,311,353
1,3,Right,2,353,365,406,415,459
1,3,Right,3,459,469,512,521,565
1,4,Left,1,163,173,213,218,268
1,4,Left,2,268,277,320,322,373
1,4,Left,3,373,382,426,427,474
1,4,Left,1,163,173,213,218,268
1,4,Left,2,268,277,320,322,373
1,4,Left,3,373,382,426,427,474
1,4,Right,1,213,218,268,277,320
1,4,Right,2,320,322,373,382,426
1,5,Left,1,124,134,175,183,227
1,5,Left,2,227,235,278,287,329
1,5,Left,3,329,336,378,389,431
1,5,Left,1,124,134,175,183,227
1,5,Left,2,227,235,278,287,329
1,5,Left,3,329,336,378,389,431
1,5,Right,1,175,183,227,235,278
1,5,Right,2,278,287,329,336,378
1,5,Right,3,378,389,431,439,483
1,6,Left,1,88,100,141,151,193
1,6,Left,2,193,202,245,254,296
1,6,Left,3,296,304,347,356,398
1,6,Left,1,88,100,141,151,193
1,6,Left,2,193,202,245,254,296
1,6,Left,3,296,304,347,356,398
1,6,Right,1,36,49,88,100,141
1,6,Right,2,141,151,193,202,245
1,6,Right,3,245,254,296,304,347
1,7,Left,1,34,44,86,94,136
1,7,Left,2,136,145,188,195,237
1,7,Left,3,237,247,287,296,339
1,7,Left,1,34,44,86,94,136
1,7,Left,2,136,145,188,195,237
1,7,Left,3,237,247,287,296,339
1,7,Right,1,86,94,136,145,188
1,7,Right,2,188,195,237,247,287
1,7,Right,3,287,296,339,347,396
1,8,Left,1,25,65,65,82,119
1,8,Left,2,119,133,174,184,226
1,8,Left,3,226,234,276,285,328
1,8,Left,4,328,336,378,388,430
1,8,Left,1,25,65,65,82,119
1,8,Left,2,119,133,174,184,226
1,8,Left,3,226,234,276,285,328
1,8,Left,4,328,336,378,388,430
1,8,Right,1,65,82,119,133,174
1,8,Right,2,174,184,226,234,276
1,8,Right,3,276,285,328,336,378
1,9,Left,1,75,84,124,153,177
1,9,Left,2,177,186,228,256,280
1,9,Left,3,280,288,331,362,383
1,9,Left,1,75,84,124,153,177
1,9,Left,2,177,186,228,256,280
1,9,Left,3,280,288,331,362,383
1,9,Right,1,15,48,75,84,124
1,9,Right,2,124,153,177,186,228
1,9,Right,3,228,256,280,288,331
1,9,Right,4,331,362,383,393,427
1,10,Left,1,79,88,128,139,178
1,10,Left,2,178,187,229,239,279
1,10,Left,1,79,88,128,139,178
1,10,Left,2,178,187,229,239,279
1,10,Right,1,20,39,79,88,128
1,10,Right,2,128,139,178,187,229
1,10,Right,3,229,239,279,287,328
1,11,Left,1,63,73,114,124,163
1,11,Left,2,163,173,213,223,262
1,11,Left,3,262,273,313,322,364
1,11,Left,1,63,73,114,124,163
1,11,Left,2,163,173,213,223,262
1,11,Left,3,262,273,313,322,364
1,11,Right,1,114,124,163,173,213
1,11,Right,2,213,223,262,273,313
1,11,Right,3,313,322,364,372,422
1,12,Left,1,61,71,112,123,163
1,12,Left,2,163,172,214,223,265
1,12,Left,1,61,71,112,123,163
1,12,Left,2,163,172,214,223,265
1,12,Right,1,5,21,61,71,112
1,12,Right,2,112,123,163,172,214
1,12,Right,3,214,223,265,273,312
1,13,Left,1,134,144,188,198,241
1,13,Left,2,241,249,297,307,350
1,13,Left,1,134,144,188,198,241
1,13,Left,2,241,249,297,307,350
1,13,Right,1,82,94,134,144,188
1,13,Right,2,188,198,241,249,297
1,13,Right,3,297,307,350,357,400
1,15,Left,1,203,212,253,265,306
1,15,Left,2,306,316,358,370,411
1,15,Left,3,411,420,464,474,516
1,15,Left,1,203,212,253,265,306
1,15,Left,2,306,316,358,370,411
1,15,Left,3,411,420,464,474,516
1,15,Right,1,150,162,203,212,253
1,15,Right,2,253,265,306,316,358
1,15,Right,3,358,370,411,420,464
1,16,Left,1,175,186,230,239,277
1,16,Left,2,277,287,330,338,376
1,16,Left,3,376,389,430,440,481
1,16,Left,1,175,186,230,239,277
1,16,Left,2,277,287,330,338,376
1,16,Left,3,376,389,430,440,481
